year,encounter_count,unique_patients
1926-01-01,1,1
1929-01-01,1,1
1930-01-01,2,2
1932-01-01,1,1
1933-01-01,2,2
1935-01-01,1,1
1937-01-01,1,1
1939-01-01,2,2
1940-01-01,2,2
1941-01-01,3,3
1942-01-01,3,3
1943-01-01,4,4
1944-01-01,3,3
1945-01-01,3,3
1946-01-01,4,4
1947-01-01,1,1
1948-01-01,6,6
1949-01-01,5,5
1950-01-01,10,10
1951-01-01,6,6
1952-01-01,9,9
1953-01-01,12,12
1954-01-01,15,15
1955-01-01,15,15
1956-01-01,15,15
1957-01-01,13,13
1958-01-01,21,21
1959-01-01,24,24
1960-01-01,21,21
1961-01-01,32,32
1962-01-01,33,33
1963-01-01,39,39
1964-01-01,37,37
1965-01-01,39,39
1966-01-01,39,39
1967-01-01,48,48
1968-01-01,53,53
1969-01-01,63,63
1970-01-01,59,59
1971-01-01,62,62
1972-01-01,68,68
1973-01-01,72,72
1974-01-01,84,84
1975-01-01,91,91
1976-01-01,83,82
1977-01-01,80,80
1978-01-01,95,95
1979-01-01,106,106
1980-01-01,135,135
1981-01-01,118,118
1982-01-01,116,116
1983-01-01,138,138
1984-01-01,156,155
1985-01-01,143,143
1986-01-01,157,157
1987-01-01,160,160
1988-01-01,168,167
1989-01-01,206,206
1990-01-01,177,176
1991-01-01,200,200
1992-01-01,235,233
1993-01-01,202,202
1994-01-01,213,213
1995-01-01,227,225
1996-01-01,252,252
1997-01-01,250,250
1998-01-01,220,220
1999-01-01,261,259
2000-01-01,269,269
2001-01-01,290,290
2002-01-01,290,289
2003-01-01,304,303
2004-01-01,323,322
2005-01-01,297,295
2006-01-01,338,337
2007-01-01,302,301
2008-01-01,308,308
2009-01-01,326,326
2010-01-01,144618,75172
2011-01-01,169470,82413
2012-01-01,171038,82755
2013-01-01,170230,82590
2014-01-01,170346,82849
2015-01-01,171292,82956
2016-01-01,171299,82896
2017-01-01,25162,20587
